Date, Open, High, Low, Close, Volume
20211130  19:10:00,3516.19,3518.25,3514.62,3516.81,111
20211130  19:15:00,3517.14,3518.55,3511.5,3515.85,63
20211130  19:20:00,3514.95,3521.77,3513.24,3521.22,78
20211130  19:25:00,3522.0,3524.29,3515.82,3518.13,121
20211130  19:30:00,3517.0,3520.29,3513.67,3516.6,55
20211130  19:35:00,3516.32,3518.83,3514.33,3514.33,54
20211130  19:40:00,3515.0,3516.83,3507.3,3511.11,67
20211130  19:45:00,3511.11,3513.0,3500.67,3501.35,139
20211130  19:50:00,3501.43,3504.09,3499.44,3502.0,207
20211130  19:55:00,3501.81,3508.0,3500.01,3506.93,135
20211130  20:00:00,3505.79,3506.92,3501.46,3505.59,122
20211130  20:05:00,3504.55,3509.43,3500.0,3500.18,108
20211130  20:10:00,3500.25,3504.28,3498.04,3500.0,89
20211130  20:15:00,3499.6,3503.7,3498.04,3502.98,83
20211130  20:20:00,3503.01,3506.67,3500.89,3502.44,124
20211130  20:25:00,3500.85,3505.34,3497.63,3501.58,174
20211130  20:30:00,3501.25,3505.19,3500.29,3503.01,82
20211130  20:35:00,3502.0,3503.39,3498.0,3500.99,107
20211130  20:40:00,3500.0,3509.0,3499.99,3508.01,148
20211130  20:45:00,3507.83,3512.0,3504.64,3505.69,275
20211130  20:50:00,3504.6,3505.21,3495.0,3502.5,549
20211130  20:55:00,3502.03,3513.79,3502.03,3507.52,712
20211201  14:30:00,3545.0,3558.0,3533.0,3533.03,900
20211201  14:35:00,3533.0,3551.44,3530.55,3540.0,290
20211201  14:40:00,3540.96,3542.18,3524.68,3530.95,312
20211201  14:45:00,3527.09,3537.19,3526.7,3528.0,182
20211201  14:50:00,3528.59,3536.0,3528.59,3531.03,135
20211201  14:55:00,3532.48,3536.86,3521.07,3533.12,211
20211201  15:00:00,3535.97,3542.58,3532.94,3540.96,258
20211201  15:05:00,3541.99,3548.59,3538.41,3544.49,309
20211201  15:10:00,3544.49,3547.72,3529.1,3533.28,181
20211201  15:15:00,3533.41,3538.26,3528.72,3533.93,98
20211201  15:20:00,3533.37,3534.1,3527.07,3530.67,142
20211201  15:25:00,3530.63,3534.05,3529.78,3529.78,122
20211201  15:30:00,3530.0,3537.89,3529.99,3535.07,137
20211201  15:35:00,3535.43,3538.84,3534.0,3534.0,66
20211201  15:40:00,3532.41,3536.1,3526.61,3534.22,77
20211201  15:45:00,3533.25,3536.38,3527.29,3533.96,70
20211201  15:50:00,3534.15,3539.93,3533.94,3536.88,67
20211201  15:55:00,3537.74,3542.3,3535.15,3540.4,174
20211201  16:00:00,3542.18,3542.79,3536.13,3536.13,80
20211201  16:05:00,3536.07,3540.0,3533.64,3536.48,77
20211201  16:10:00,3535.1,3547.26,3534.31,3545.96,205
20211201  16:15:00,3545.2,3551.76,3542.07,3551.0,249
20211201  16:20:00,3549.28,3557.4,3546.69,3557.4,304
20211201  16:25:00,3557.62,3559.88,3553.02,3553.21,270
20211201  16:30:00,3555.41,3555.98,3546.0,3547.84,136
20211201  16:35:00,3548.0,3550.98,3543.7,3546.88,203
20211201  16:40:00,3547.55,3554.89,3545.3,3551.01,192
20211201  16:45:00,3549.71,3554.98,3545.0,3554.98,133
20211201  16:50:00,3553.33,3553.39,3543.3,3543.3,155
20211201  16:55:00,3543.86,3543.86,3533.13,3536.6,186
20211201  17:00:00,3536.14,3540.44,3534.45,3539.55,171
20211201  17:05:00,3538.33,3542.27,3535.0,3537.97,151
20211201  17:10:00,3536.2,3540.0,3532.68,3535.33,81
20211201  17:15:00,3535.36,3538.66,3535.0,3535.37,70
20211201  17:20:00,3536.18,3536.18,3528.41,3528.41,199
20211201  17:25:00,3529.47,3530.02,3527.01,3527.88,97
20211201  17:30:00,3530.18,3532.76,3522.01,3527.4,97
20211201  17:35:00,3528.47,3528.48,3524.0,3527.41,101
20211201  17:40:00,3528.93,3532.37,3524.66,3529.64,162
